action - 319, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 320, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 321, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 322, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 323, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 324, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 325, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 326, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 327, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 328, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 329, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 330, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 331, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 332, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 333, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 334, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 335, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 336, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 337, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 338, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 339, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 340, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 341, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 342, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
action - 343, total waiting time - 1563.0, action - (0,0,0,0), reward - 0.0
